first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,129,2790,22,33.4,445.8,0.0,6,515,48.0,15,0,1,30.9,60,GK,21.5
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GK,0.0
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK,0.0
Gabriel,dos Santos Magalhães,3,4,173,2165,15,108.4,686.8,199.0,25,593,99.2,14,0,3,36.9,72,DEF,24.0
William,Saliba,1,0,107,2074,16,156.4,433.6,74.0,9,448,66.4,11,0,1,12.4,61,DEF,17.5
Riccardo,Calafiori,1,2,93,1446,8,127.9,244.4,249.0,4,339,62.2,11,0,5,5.9,56,DEF,16.6
Jurriën,Timber,3,6,149,2452,20,402.6,499.0,352.0,9,532,125.7,13,0,5,23.3,63,DEF,23.7
Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,DEF,0.0
Myles,Lewis-Skelly,0,0,12,311,5,45.5,31.2,18.0,0,36,9.4,0,0,3,1.4,51,DEF,2.4
Benjamin,White,0,1,30,409,4,92.7,111.4,46.0,3,112,25.0,3,0,0,0.5,51,DEF,5.9
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,38,DEF,0.0
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,37,DEF,0.0
Bukayo,Saka,6,8,133,1995,16,725.9,538.8,762.0,14,497,202.9,10,0,1,7.6,98,MID,13.6
Martin,Ødegaard,1,6,62,1070,11,434.7,259.6,144.0,5,252,83.7,4,0,0,1.5,78,MID,7.9
Noni,Madueke,2,1,54,889,7,266.3,192.4,312.0,6,186,77.0,6,0,0,0.8,68,MID,7.9
Gabriel,Martinelli Silva,1,4,47,839,5,143.3,167.2,331.0,1,159,63.5,2,0,2,0.9,68,MID,6.9
Leandro,Trossard,5,5,99,1675,14,450.0,407.4,432.0,9,351,129.2,8,0,1,0.8,66,MID,15.0
Declan,Rice,4,9,163,2580,21,911.4,736.2,273.0,21,695,192.2,14,0,2,21.8,73,MID,22.3
Mikel,Merino Zazón,4,3,66,996,9,187.0,304.4,237.0,5,238,72.6,4,0,1,0.8,54,MID,12.2
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Christian,Nørgaard,0,0,6,56,1,0.4,15.8,7.0,0,19,2.4,0,0,0,0.1,51,MID,1.2
Ethan,Nwaneri,0,0,8,165,0,22.5,8.6,24.0,0,20,5.4,1,0,0,0.1,50,MID,1.6
Martín,Zubimendi Ibáñez,5,1,117,2597,20,335.9,539.6,258.0,9,530,113.5,15,0,4,3.1,51,MID,22.9
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Kai,Havertz,0,1,12,261,0,47.6,37.2,49.0,0,57,13.5,3,0,0,0.4,73,FWD,1.6
Gabriel,Fernando de Jesus,2,0,17,304,6,24.9,100.6,207.0,0,68,33.0,0,0,2,0.3,64,FWD,2.7
Eberechi,Eze,6,3,94,1494,10,242.8,338.4,373.0,8,358,95.3,8,0,1,7.8,72,MID,13.1
Cristhian,Mosquera,0,0,28,667,5,51.0,153.8,10.0,1,149,21.5,2,0,2,0.1,53,DEF,5.3
Viktor,Gyökeres,11,0,101,1888,11,211.3,413.8,622.0,13,382,123.9,10,0,4,10.8,88,FWD,11.5
Max,Dowman,1,1,11,43,0,23.3,38.2,47.0,0,39,10.9,0,0,0,0.6,42,MID,2.6
Andre,Harriman-Annous,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
Piero,Hincapié,1,2,74,1499,16,168.4,383.4,57.0,6,282,60.7,4,0,2,0.7,51,DEF,14.5
Marli,Salmon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Emiliano,Martínez Romero,0,0,99,2295,29,13.2,598.4,0.0,10,427,61.1,6,0,2,6.4,51,GK,19.4
Marco,Bizot,0,0,11,405,8,0.0,92.8,0.0,0,51,9.3,1,0,2,0.4,42,GK,2.6
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Matty,Cash,3,2,100,2352,27,413.7,533.0,188.0,6,379,113.5,7,0,7,8.5,47,DEF,21.3
Lucas,Digne,0,5,78,1459,17,341.2,298.4,110.0,4,304,74.8,6,0,3,1.7,45,DEF,17.3
Ezri,Konsa Ngoyo,0,1,89,2585,36,92.8,525.0,104.0,3,437,72.7,8,1,0,8.6,44,DEF,20.2
Ian,Maatsen,0,0,40,1251,20,299.8,258.8,186.0,0,202,74.6,2,0,2,0.6,42,DEF,9.5
Tyrone,Mings,0,1,44,962,15,70.9,214.8,61.0,4,148,34.7,3,0,0,0.7,43,DEF,10.2
Pau,Torres,0,1,50,1296,15,37.8,251.8,55.0,2,225,34.7,4,0,0,0.3,43,DEF,11.6
Andrés,García,0,0,3,37,2,2.4,3.0,0.0,0,4,0.5,0,0,0,0.2,39,DEF,0.8
Álex,Moreno Lopera,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.6,40,DEF,0.0
Lamare,Bogarde,0,0,34,797,13,54.0,109.0,14.0,4,107,17.6,2,0,5,0.5,40,DEF,8.5
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,38,DEF,0.0
Yasin,Özcan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Morgan,Rogers,8,5,132,2677,37,547.9,604.0,716.0,13,471,186.7,8,0,6,25.5,75,MID,17.6
Youri,Tielemans,0,4,52,1295,17,401.3,317.2,147.0,3,289,86.6,4,0,0,0.6,59,MID,8.8
Leon,Bailey,0,1,12,311,8,112.0,50.8,53.0,0,40,21.6,0,0,1,0.1,55,MID,2.2
Emiliano,Buendía Stati,5,2,82,1440,19,311.3,341.6,314.0,8,283,95.4,3,0,6,0.4,53,MID,15.5
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Donyell,Malen,4,2,55,640,10,99.7,183.4,290.0,3,161,56.3,1,0,0,0.4,51,MID,10.8
John,McGinn,3,2,73,1651,22,402.4,308.2,202.0,4,298,91.1,7,0,3,0.5,53,MID,13.8
Ross,Barkley,2,1,32,324,6,92.7,134.6,82.0,3,130,30.9,0,0,0,0.1,48,MID,6.7
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Boubacar,Kamara,1,3,61,1410,15,241.3,325.0,75.0,7,282,64.2,5,0,5,0.2,49,MID,12.4
Amadou,Onana,2,0,66,1468,22,105.2,349.4,150.0,3,299,60.4,5,0,2,0.7,48,MID,13.8
